id,name,description,xrefs,parents
CL_0000671,centripetally migrating follicle cell,,FBbt:00004906,CL:0000477
CL_0000673,Kenyon cell,,,CL:0000028
CL_0000674,interfollicle cell,,FBbt:00004910,CL:0000075
CL_0000675,female gamete,A mature sexual reproductive cell of the female germline.,,CL:0000021|CL:0000300
CL_0000676,cap cell,,BTO:0001033,CL:0000378
CL_0000677,gut absorptive cell,"Cell of the intestinal epithelium with a brush border made up of many parallel packed microvilli; associated with absorption, particularly of macromolecules.",,BFO:0000004|BFO:0000050 some UBERON:0001277|CL:0000212
CL_0000678,commissural neuron,,,CL:0000540
CL_0000679,glutamatergic neuron,,WBbt:0006829,CL:0000151|CL:0000540|RO:0002215 some GO:0061535
CL_0000680,muscle precursor cell,A non-terminally differentiated cell that is capable of developing into a muscle cell.,,CARO:0000000|CL:0000055|CL:0002371|RO:0002202 some CL:0000222|RO:0002203 some CL:0000187
CL_0000681,radial glial cell,A cell present in the developing CNS. Functions as both a precursor cell and as a scaffold to support neuronal migration.,,CL:0000125|RO:0002202 some CL:0000710
CL_0000682,M cell of gut,An absorptive cell of the gut epithelium that endocytoses microorganisms and intact macromolecules from the gut lumen and transports them to the subepithelial space where they are presented to antigen-presenting cells and lymphocytes.,BTO:0003600|FMA:62929,BFO:0000050 some UBERON:0003929|CL:0000473|CL:0000627|CL:0002251
CL_0000683,ependymoglial cell,"A cell that transports hormones from neurosecretory cells. This nerve cell is characterized by bipolar shape and endfeet that contact a basal lamina around blood vessels, and/or the pia mater or vitreous body of the eye and additionally contact the ventricular surface or sub-retinal space.",MESH:D063928,CL:0000127
CL_0000684,littoral cell of liver,,,BFO:0000050 some UBERON:0002107|CL:0000077
CL_0000686,cerebrospinal fluid secreting cell,A columnar/cuboidal epithelial cell that secretes cerebrospinal fluid.,,CL:0000151|CL:0000710|RO:0002202 some CL:0000333|RO:0002215 some GO:0033326
CL_0000687,R1 photoreceptor cell,,,BFO:0000050 some UBERON:0000971|CL:0000488|CL:2000019
CL_0000688,perijunctional fibroblast,A fibroblast-like cell that provides support at neuromuscular junctions in vertebrates and are localized outside the synaptic basal lamina.,,CL:0000057|CL:0000630
CL_0000689,myoendocrine cell,A cell with both myofibrils and secretory granules.,,CL:0000163
CL_0000690,R2 photoreceptor cell,,,BFO:0000050 some UBERON:0000971|CL:0000488|CL:2000019
CL_0000691,stellate interneuron,,,CL:0000099|CL:0000104|RO:0000053 some PATO:0070010
CL_0000692,terminal Schwann cell,A neuroglial cell of the peripheral nervous system inside the basal lamina of the neuromuscular junction providing chemical and physical support to the synapse.,,CL:0000630|CL:0002376
CL_0000693,neurogliaform cell,"An interneuron that has spider-like appearance with a small round soma, a large number (7-10) of short, smooth, or slightly beaded primary dendrites that give rise to only a few secondary branches, and a branched axon that establishes a dense axonal mesh with thin shafts.",,CL:0000099|CL:0000104|RO:0000053 some PATO:0070001
CL_0000694,R3 photoreceptor cell,,,BFO:0000050 some UBERON:0000971|CL:0000488|CL:2000019
CL_0000695,Cajal-Retzius cell,"A neuron of the human embryonic marginal zone which display, as a salient feature, radial ascending processes that contact the pial surface, and a horizontal axon plexus located in the deep marginal zone. One feature of these cells in mammals is that they express the Reelin gene.",,CL:0000117|CL:2000029|RO:0000053 some PATO:0070006|RO:0002100 some UBERON:0010403
CL_0000696,PP cell,A cell that stores and secretes pancreatic polypeptide hormone.,FMA:62938|FMA:83409,CL:0000164|CL:0000167
CL_0000697,R4 photoreceptor cell,,,BFO:0000050 some UBERON:0000971|CL:0000488|CL:2000019
CL_0000699,paraganglial type 1 cell,"A type of glomus or chief cell, is sensitive to hypoxia and produce catecholamines.",,CL:0000165
CL_0000700,dopaminergic neuron,A neuron that releases dopamine as a neurotransmitter.,BTO:0004032|FMA:84787|MESH:D059290|WBbt:0006746,CL:0000151|CL:0000540|RO:0002215 some GO:0061527
CL_0000701,paraganglia type 2 cell,Supports paraganglial type 1 cell.,,CL:0000630
CL_0000702,R5 photoreceptor cell,,,BFO:0000050 some UBERON:0000971|CL:0000488|CL:2000019
CL_0000703,sustentacular cell,"Cell that provides some or all mechanical, nutritional and phagocytic support to their neighbors.",BTO:0002315,CL:0000630
CL_0000704,endothelial tip cell,A specialized endothelial cell that senses extracellular signals and guides the directed growth of blood vessels.,,CL:0000071
CL_0000705,R6 photoreceptor cell,,,BFO:0000050 some UBERON:0000971|CL:0000488|CL:2000019
CL_0000706,choroid plexus epithelial cell,Specialized ependymal cell that produces the cerebrospinal fluid from the blood and secretes it into the lumen of the brain and spinal chord.,FMA:70549,CL:0000065|CL:0000627|CL:0002319|CL:4023073
CL_0000707,R7 photoreceptor cell,,,CL:0000287|CL:0000494
CL_0000708,leptomeningeal cell,Stromal cell that forms the internal covering of the vertebrate brain and produces ECM for this and the choroid plexus.,,BFO:0000050 some UBERON:0003210|CL:0000327|CL:0002319|CL:4023073
CL_0000709,R8 photoreceptor cell,,,BFO:0000050 some UBERON:0000971|CL:0000488|CL:2000019
CL_0000710,neurecto-epithelial cell,Epithelial cells derived from neural plate and neural crest.,BTO:0004301|FMA:70557,CL:0000075|CL:0002077|RO:0002202 some CL:0000133
CL_0000711,cumulus cell,"Cumulus cell is a specialized granulosa cell that surrounds and nourishes the oocyte. This cell-type surrounds the fully-grown oocyte to form a cumulus-oocyte complex (abbr. COC). The terms cumulus oophorus cells, cumulus granulosa cells, cumulus oophorous granulosa cells, granulosa-cumulus cells are used to make a distinction between this cell and the other functionally different subpopulation of granulosa cells at the wall of the Graafian follicle.",BTO:0002236|MESH:D054885,CL:0000154|CL:0002174|RO:0002202 some CL:0000501
CL_0000712,stratum granulosum cell,,,BFO:0000050 some UBERON:0002069|CL:0000362
CL_0000713,corona radiata cell,,,CL:0000711
CL_0000714,,,,
CL_0000715,embryonic crystal cell,,FBbt:00001690,CL:0000392|CL:0000736
CL_0000716,lymph gland crystal cell,,,CL:0000392|CL:0000735
CL_0000718,compound eye cone cell,,FBbt:00004193,BFO:0000004|BFO:0000050 some UBERON:0000018|CL:0000306
CL_0000719,posterior cone cell (sensu Endopterygota),,,CL:0000718
CL_0000720,anterior cone cell (sensu Endopterygota),,,CL:0000718
CL_0000721,equatorial cone cell (sensu Endopterygota),,,CL:0000718
CL_0000722,cystoblast,,,CL:0000548|CL:0000586|RO:0002160 some NCBITaxon:6656
CL_0000723,somatic stem cell,A stem cell that can give rise to cell types of the body other than those of the germ-line.,CALOHA:TS-2086|FMA:63368|MESH:D053687,CL:0000034|CL:0002371|RO:0002215 some GO:0048103
CL_0000724,heterocyst,A differentiated cell that functions as a site of nitrogen fixation under aerobic conditions.,BTO:0000600,CL:0000520|CL:0000725
CL_0000725,nitrogen fixing cell,,,BFO:0000040|CL:0000003|RO:0002215 some GO:0009399
CL_0000726,chlamydospore,"An asexual 1-celled spore (primarily for perennation, not dissemination). Originates endogenously and singly within part of a pre-existing cell by the contraction of the protoplast. Possesses an inner secondary and often thickened hyaline or brown wall, usually impregnated with hydrophobic material.",,CL:0000605
CL_0000727,primary pigment cell,,,CL:0001658
CL_0000728,secondary pigment cell,,,CL:0001658
CL_0000729,tertiary pigment cell,,,CL:0001658
CL_0000730,leading edge cell,A cell at the front of a migrating epithelial sheet.,,CL:0000066|CL:0002371
CL_0000731,urothelial cell,"A cell of a layer of transitional epithelium in the wall of the bladder, ureter, and renal pelvis, external to the lamina propria.",FMA:84127,BFO:0000050 some UBERON:0000365|CL:0000244
CL_0000732,amoeboid cell,,,CL:0000219
CL_0000733,lymph gland plasmatocyte,,,CL:0000394|CL:0000735
CL_0000734,embryonic gland plasmatocyte,,,CL:0000394|CL:0000736
CL_0000735,lymph gland hemocyte,,FBbt:00005917,CL:0000387
CL_0000736,embryonic gland hemocyte,,,CL:0000387
CL_0000737,striated muscle cell,Muscle cell which has as its direct parts myofilaments organized into sarcomeres.,BTO:0002916|CALOHA:TS-2157|FMA:86936,BFO:0000051 some GO:0030017|CL:0000187|RO:0000053 some PATO:0001410
CL_0000738,leukocyte,"An achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue.",BTO:0000751|CALOHA:TS-0549|FMA:62852|MESH:D007962,BFO:0000050 some UBERON:0002405|CARO:0000000|CL:0000219|CL:0000988|CL:0002242|RO:0002160 some NCBITaxon:7742|RO:0002202 some CL:0000037|RO:0002215 some GO:0001667
CL_0000739,,,,
CL_0000740,retinal ganglion cell,"The set of neurons that receives neural inputs via bipolar, horizontal and amacrine cells. The axons of these cells make up the optic nerve.",BTO:0001800|FMA:67765|MESH:D012165,CL:0000117|RO:0002100 some UBERON:0000966
CL_0000741,spinal accessory motor neuron,"A motor neuron that is located in the cervical region of the spinal cord and selectively innervates the sternocleidmastoid or trapezius muscle. Unlike other motor neurons, they extend axons dorsally along lateral margins of the spinal cord.",,CL:0008039
CL_0000742,periarticular chondrocyte,A round chondrocyte that first differentiates in the late embryonic growth plate of bone.,,CL:1001607
CL_0000743,hypertrophic chondrocyte,"Chondrocyte that is terminally differentiated, produces type X collagen, is large in size, and often associated with the replacement of cartilage by bone (endochondral ossification).",,CL:0000138
CL_0000744,columnar chondrocyte,A columnar chondrocyte that differentiates in the late embryonic growth plate of bone. Columnar chondrocytes vigorously proliferate and form columns in the growth plate.,,CL:0000138
CL_0000745,retina horizontal cell,A neuron that laterally connects other neurons in the inner nuclear layer of the retina.,BTO:0004120,CARO:0000000|CL:0000099|RO:0002100 some UBERON:0003902
CL_0000746,cardiac muscle cell,"Cardiac muscle cells are striated muscle cells that are responsible for heart contraction. In mammals, the contractile fiber resembles those of skeletal muscle but are only one third as large in diameter, are richer in sarcoplasm, and contain centrally located instead of peripheral nuclei.",BTO:0001539|CALOHA:TS-0115|FMA:14067|MESH:D032383,CL:0000737|CL:0002494|RO:0000053 some PATO:0002478|RO:0000056 some GO:0060047|RO:0002202 some CL:0000513
CL_0000747,cyanophore,A pigment cell derived from the neural crest. Contains blue pigment of unknown chemical composition in fibrous organelles termed cyanosomes. This gives a blue appearance.,,CARO:0000000|CL:0000147|RO:0002202 some CL:0005005
CL_0000748,retinal bipolar neuron,A bipolar neuron found in the retina and having connections with photoreceptors cells and neurons in the inner plexiform layer.,,CARO:0000000|CL:0000103|CL:0000679|CL:0008028|CL:0009004|RO:0002100 some UBERON:0000966|RO:0002215 some (GO:0061535 and (BFO:0000050 some GO:0098976))
CL_0000749,ON-bipolar cell,A bipolar neuron found in the retina and having connections with photoreceptors cells and neurons in the inner half of the inner plexiform layer. These cells depolarize in response to light stimulation of their corresponding photoreceptors.,,CL:0000748
CL_0000750,OFF-bipolar cell,A bipolar neuron found in the retina and having connections with photoreceptors cells and neurons in the outer half of the inner plexiform layer. These cells depolarize in response to light to dark transition.,,CL:0000748
CL_0000751,rod bipolar cell,A bipolar neuron found in the retina that is synapsed by rod photoreceptor cells but not by cone photoreceptor cells.  These neurons depolarize in response to light.,FMA:67750,CL:0000748|RO:0002102 some UBERON:0008925|RO:0002102 some UBERON:0008926|RO:0002103 some CL:0000604
CL_0000752,cone retinal bipolar cell,A bipolar neuron found in the retina and having connections with cone photoreceptor cells and neurons in the inner plexiform layer.,,CL:0000748|RO:0002103 some CL:0000573
CL_0000753,type 1 cone bipolar cell (sensu Mus),An OFF-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the outer half of the inner plexiform layer. The cell body of these cells is in the middle of the inner plexiform layer. The dendritic tree is stout and the axon terminates in sublamina 1. The axonal terminal is wide and has only a few varicosities.,,CL:0000752|RO:0002102 some UBERON:0008922
CL_0000754,type 2 cone bipolar cell (sensu Mus),"An OFF-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the outer half of the inner plexiform layer. The dendritic tree is not well filled and the dendrites are more delicate than in type 1 cells. The axon terminal is bushier and exhibits a dense plexus of varicosities in the inner part of sublamina 1 (Ghosh et al., 2004).  It can be differentiated from other retinal bipolar neurons by its expression of marker genes: Neto1, Lhx3 and Irx-6 (Shekhar, 2016).",,CL:0000752|RO:0002102 some UBERON:0008922|RO:0002292 some PR:P50481|RO:0002292 some PR:Q8R4I7|RO:0002292 some PR:Q9ER75
CL_0000755,type 3 cone bipolar cell (sensu Mus),An OFF-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the outer half of the inner plexiform layer. The dendritic tree is delicate and the dendritic tips appear small when compared with type 1 cells. The axon terminal is stratified and restricted to sublamina 2 of the inner plexiform layer.,,CL:0000752|RO:0002102 some UBERON:0008923|RO:0002103 some CL:0000604
CL_0000756,type 4 cone bipolar cell (sensu Mus),An OFF-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the outer half of the inner plexiform layer. The cell has a diffuse axon terminal with varicosities in sublaminae 1 and 2 of the inner plexiform layer.,,CL:0000752|RO:0002102 some UBERON:0008923|RO:0002102 some UBERON:0008924|RO:0002103 some CL:0000604
CL_0000757,type 5 cone bipolar cell (sensu Mus),An ON-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the inner half of the inner plexiform layer. The axon terminal is restricted to sublamina 3 of the inner plexiform layer. It is narrowly stratified and branched. The dendritic tree has many delicate branches.,,CL:0000752|RO:0002102 some UBERON:0008924
CL_0000758,type 6 cone bipolar cell (sensu Mus),"An ON-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the inner half of the inner plexiform layer. The cell has a loose, delicate axon terminal that opens in sublamina 3 of the inner plexiform layer and descends into sublamina 4.",,CL:0000752|RO:0002102 some UBERON:0008925
CL_0000759,type 7 cone bipolar cell (sensu Mus),An ON-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the inner half of the inner plexiform layer. The axon terminal is narrowly stratified and are found just below a calretinin-expressing band in sublamina 4 of the inner plexiform layer.,,CL:0000752|RO:0002102 some UBERON:0008925
CL_0000760,type 8 cone bipolar cell (sensu Mus),An ON-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the inner half of the inner plexiform layer. This cell has the widest dendritic field and the widest axon terminal of all retinal bipolar cells. The axon terminal is delicate and stratified through sublaminae 4 and 5 of the inner plexiform layer.,,CL:0000752|RO:0002102 some UBERON:0008925|RO:0002102 some UBERON:0008926
CL_0000761,type 9 cone bipolar cell (sensu Mus),An ON-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the inner half of the inner plexiform layer. The dendritic tree is wide and the dendritic convergence indicates cone selectivity. The axon terminal is sparsely branched and terminates in sublamina 5 of the inner plexiform layer.,,CL:0000752|RO:0002102 some UBERON:0008926
CL_0000762,nucleated thrombocyte,"A nucleated blood cell involved in coagulation, typically seen in birds and other non-mammalian vertebrates.",,BFO:0000040|CL:0000226|CL:0000763|RO:0002202 some CL:0000828|RO:0002215 some GO:0007596
CL_0000763,myeloid cell,"A cell of the monocyte, granulocyte, mast cell, megakaryocyte, or erythroid lineage.",BTO:0001441|CALOHA:TS-0647|MESH:D022423,CARO:0000000|CL:0000988|RO:0002202 some CL:0000049
CL_0000764,erythroid lineage cell,A immature or mature cell in the lineage leading to and including erythrocytes.,CALOHA:TS-0290|FMA:62845|FMA:83516,CL:0000763
CL_0000765,erythroblast,A nucleated precursor of an erythrocyte that lacks hematopoietic lineage markers.,BTO:0001571|CALOHA:TS-0289|FMA:83504|MESH:D004900,BFO:0000051 some GO:0005634|CL:0000764|CL:0011026|RO:0002202 some CL:0000547|RO:0002215 some GO:0030218|obo:cl#lacks_part some GO:0005730|obo:cl#lacks_plasma_membrane_part some PR:000001002|obo:cl#lacks_plasma_membrane_part some PR:000001004|obo:cl#lacks_plasma_membrane_part some PR:000001012|obo:cl#lacks_plasma_membrane_part some PR:000001020|obo:cl#lacks_plasma_membrane_part some PR:000001024|obo:cl#lacks_plasma_membrane_part some PR:000001083|obo:cl#lacks_plasma_membrane_part some PR:000001084|obo:cl#lacks_plasma_membrane_part some PR:000001289|obo:cl#lacks_plasma_membrane_part some PR:000001839|obo:cl#lacks_plasma_membrane_part some PR:000001889|obo:cl#lacks_plasma_membrane_part some PR:000002978
CL_0000766,myeloid leukocyte,"A cell of the monocyte, granulocyte, or mast cell lineage.",,CL:0000738|CL:0000763
CL_0000767,basophil,"Any of the immature or mature forms of a granular leukocyte that in its mature form has an irregularly shaped, pale-staining nucleus that is partially constricted into two lobes, and with cytoplasm that contains coarse, bluish-black granules of variable size. Basophils contain vasoactive amines such as histamine and serotonin, which are released on appropriate stimulation. A basophil is CD123-positive, CD193-positive, CD203c-positive, and FceRIa-positive.",BTO:0000129|CALOHA:TS-0073|FMA:62862,CL:0000094|RO:0002104 some PR:000001344|RO:0002104 some PR:000001950|RO:0015015 some PR:000001255|RO:0015015 some PR:000001865|RO:0015015 some PR:000007431
CL_0000768,immature basophil,"Any of the immature forms of a basophil, in which basophilic specific granules are present but other phenotypic features of the mature form may be lacking.",,BFO:0000051 some CL:0017509|CL:0000767|RO:0002202 some CL:0000830
CL_0000769,basophilic metamyelocyte,"A basophil precursor in the granulocytic series, being a cell intermediate in development between a basophilic myelocyte and a band form basophil. The nucleus becomes indented where the indentation is smaller than half the distance to the farthest nuclear margin; chromatin becomes coarse and clumped; specific granules predominate while primary granules are rare. Markers are CD11b-positive, CD15-positive, CD16-positive, CD24-positive, CD33-positive, and CD13-positive.",FMA:84198,BFO:0000051 some CL:0017507|BFO:0000051 some GO:0000792|BFO:0000051 some GO:0042582|BFO:0000051 some GO:0070820|CL:0000768|CL:0002192|RO:0002104 some PR:000001456|RO:0002104 some PR:000001483|RO:0002104 some PR:000001892|RO:0002104 some PR:000001932|RO:0002104 some PR:000002031|RO:0002202 some CL:0000614
CL_0000770,band form basophil,"A late basophilic metamyelocyte in which the nucleus is in the form of a curved or coiled band, not having acquired the typical multilobar shape of the mature basophil.",,BFO:0000051 some CL:0017506|CL:0000768|RO:0002202 some CL:0000769
CL_0000771,eosinophil,"Any of the immature or mature forms of a granular leukocyte with a nucleus that usually has two lobes connected by one or more slender threads of chromatin, and cytoplasm containing coarse, round granules that are uniform in size and which can be stained by the dye eosin. Eosinophils are CD9-positive, CD191-positive, and CD193-positive.",BTO:0000399|CALOHA:TS-0279|FMA:62861|MESH:D004804,CL:0000094|RO:0002104 some PR:000001254|RO:0002104 some PR:000001255|RO:0002104 some PR:000001307|RO:0002104 some PR:000001343|RO:0002104 some PR:000005178
CL_0000772,immature eosinophil,"Any of the immature forms of an eosinophil, in which eosinophilic specific granules are present but other phenotypic features of the mature form may be lacking.",,BFO:0000051 some CL:0017509|CL:0000771|RO:0002202 some CL:0000833
CL_0000773,eosinophilic metamyelocyte,"A eosinophil precursor in the granulocytic series, being a cell intermediate in development between a eosinophilic myelocyte and a band form eosinophil. The nucleus becomes indented where the indentation is smaller than half the distance to the farthest nuclear margin; chromatin becomes coarse and clumped; specific granules predominate while primary granules are rare. Markers are integrin alpha-M-positive, fucosyltransferase FUT4-positive, low affinity immunoglobulin gamma Fc region receptor III-positive, CD33-positive, CD24-positive and aminopeptidase N-negative.",,BFO:0000051 some CL:0017502|BFO:0000051 some CL:0017507|BFO:0000051 some GO:0000792|BFO:0000051 some GO:0042582|BFO:0000051 some GO:0070820|CL:0000772|CL:0002192|RO:0002104 some PR:000001456|RO:0002104 some PR:000001483|RO:0002104 some PR:000001892|RO:0002104 some PR:000001932|RO:0002104 some PR:000002031|RO:0002202 some CL:0000612
CL_0000774,band form eosinophil,"A late eosinophilic metamyelocyte in which the nucleus is in the form of a curved or coiled band, not having acquired the typical multilobar shape of the mature eosinophil.",,BFO:0000051 some CL:0017506|CL:0000772|RO:0002202 some CL:0000773
CL_0000775,neutrophil,"Any of the immature or mature forms of a granular leukocyte that in its mature form has a nucleus with three to five lobes connected by slender threads of chromatin, and cytoplasm containing fine inconspicuous granules and stainable by neutral dyes.",BTO:0000130|CALOHA:TS-0688|FMA:62860|MESH:D009504,CL:0000094|RO:0002104 some PR:000001479|RO:0002104 some PR:000001879
CL_0000776,immature neutrophil,Any of the immature forms of a neutrophil in which neutrophilic specific granules are present but other phenotypic features of the mature form may be lacking.,,BFO:0000051 some CL:0017509|CL:0000775|RO:0002202 some CL:0000564
CL_0000777,mesangial phagocyte,"A tissue-resident macrophage of the renal glomerular mesangium involved in the disposal and degradation of filtration residues, presentation of antigen to T cells and in tissue remodeling.",,CL:0000864|RO:0001025 some UBERON:0002320|RO:0002215 some GO:0048771
CL_0000778,mononuclear osteoclast,"A specialized mononuclear osteoclast associated with the absorption and removal of bone, precursor of multinuclear osteoclasts.",,CL:0000092|CL:0000842
CL_0000779,multinuclear osteoclast,A specialized multinuclear osteoclast associated with the absorption and removal of bone.,,CL:0000092|CL:0000228|RO:0002202 some CL:0000778
CL_0000780,multinuclear odontoclast,A specialized multinuclear osteoclast associated with the absorption and removal of cementum.,,CL:0000588|CL:0000779|RO:0002202 some CL:0000781
CL_0000781,mononuclear odontoclast,A specialized mononuclear osteoclast associated with the absorption and removal of cementum.,,CL:0000588|CL:0000778
CL_0000782,myeloid dendritic cell,A dendritic cell of the myeloid lineage.,BTO:0004721,CL:0000766|CL:0000990|RO:0002202 some CL:0000763|obo:cl#lacks_plasma_membrane_part some PR:000001865
CL_0000783,multinucleated phagocyte,A phagocyte formed by the fusion of mononuclear phagocytes.,,CL:0000228|CL:0000518
CL_0000784,plasmacytoid dendritic cell,"A dendritic cell type of distinct morphology, localization, and surface marker expression (CD123-positive) from other dendritic cell types and associated with early stage immune responses, particularly the release of physiologically abundant amounts of type I interferons in response to infection.",BTO:0004625,CL:0000451|RO:0002215 some GO:0032606
CL_0000785,mature B cell,"A B cell that is mature, having left the bone marrow. Initially, these cells are IgM-positive and IgD-positive, and they can be activated by antigen.",,CL:0000145|CL:0001201|RO:0002202 some CL:0000818|RO:0002215 some GO:0042113|obo:cl#has_completed some GO:0002335
CL_0000786,plasma cell,"A terminally differentiated, post-mitotic, antibody secreting cell of the B cell lineage with the phenotype CD138-positive, surface immunonoglobulin-negative, and MHC Class II-negative. Plasma cells are oval or round with extensive rough endoplasmic reticulum, a well-developed Golgi apparatus, and a round nucleus having a characteristic cartwheel heterochromatin pattern and are devoted to producing large amounts of immunoglobulin.",BTO:0000392|FMA:70574|MESH:D010950,BFO:0000051 some CL:0017508|BFO:0000051 some GO:0005794|CARO:0000006|CL:0000946|RO:0002104 some PR:000001935|RO:0002202 some CL:0000980|obo:cl#lacks_plasma_membrane_part some GO:0019814|obo:cl#lacks_plasma_membrane_part some GO:0042613|obo:cl#lacks_plasma_membrane_part some PR:000001289
CL_0000787,memory B cell,"A memory B cell is a mature B cell that is long-lived, readily activated upon re-encounter of its antigenic determinant, and has been selected for expression of higher affinity immunoglobulin. This cell type has the phenotype CD19-positive, CD20-positive, MHC Class II-positive, and CD138-negative.",,CL:0000785|RO:0002104 some GO:0042613|RO:0002104 some PR:000001289|obo:cl#has_completed some GO:0002344|obo:cl#lacks_plasma_membrane_part some PR:000001935
CL_0000788,naive B cell,"A naive B cell is a mature B cell that has the phenotype surface IgD-positive, surface IgM-positive, CD20-positive, CD27-negative and that has not yet been activated by antigen in the periphery.",,CL:0000785|RO:0002104 some GO:0071738|RO:0002104 some GO:0071753|RO:0002104 some PR:000001289|obo:cl#has_not_completed some GO:0002344|obo:cl#lacks_plasma_membrane_part some PR:000001963
CL_0000789,alpha-beta T cell,A T cell that expresses an alpha-beta T cell receptor complex.,,CARO:0000006|CL:0000084|RO:0002104 some GO:0042105
CL_0000790,immature alpha-beta T cell,An alpha-beta T cell that has an immature phenotype and has not completed T cell selection.,,CL:0000789|CL:0002420
CL_0000791,mature alpha-beta T cell,A alpha-beta T cell that has a mature phenotype.,,CL:0000789|CL:0002419|RO:0002202 some CL:0000790
CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell","A CD4-positive, CD25-positive, alpha-beta T cell that regulates overall immune responses as well as the responses of other T cell subsets through direct cell-cell contact and cytokine release.",,CL:0000624|CL:0000815|RO:0002104 some PR:000001380|RO:0015016 some PR:000001869
CL_0000793,"CD4-positive, alpha-beta intraepithelial T cell","A CD4-positive, alpha-beta T cell that is found in the columnar epithelium of the gastrointestinal tract.",,CL:0000624|CL:0000797|RO:0002202 some CL:0000810
CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell","A CD8-positive, alpha-beta T cell that is capable of killing target cells in an antigen specific manner with the phenotype perforin-positive and granzyme B-positive.",CALOHA:TS-0190|FMA:70573,BFO:0000051 some PR:000003466|BFO:0000051 some PR:000003499|CL:0000625|RO:0002202 some CL:0000906|RO:0002215 some GO:0001913|RO:0002215 some GO:0033380|obo:cl#has_completed some GO:0030217
CL_0000795,"CD8-positive, alpha-beta regulatory T cell","A CD8-positive, alpha-beta T cell that regulates overall immune responses as well as the responses of other T cell subsets through direct cell-cell contact and cytokine release.",,CL:0000625|CL:0000815
CL_0000796,"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell",A alpha-beta intraepithelial T cell found in the columnar epithelium of the gastrointestinal tract. Intraepithelial T cells often have distinct developmental pathways and activation requirements.,,CL:0000797|RO:0002104 some PR:000025402
CL_0000797,alpha-beta intraepithelial T cell,A mature alpha-beta T cell of the columnar epithelium of the gastrointestinal tract. Intraepithelial T cells often have distinct developmental pathways and activation requirements.,,CL:0000791|CL:0002496
CL_0000798,gamma-delta T cell,A T cell that expresses a gamma-delta T cell receptor complex.,,CARO:0000006|CL:0000084|RO:0002104 some GO:0042106
CL_0000799,immature gamma-delta T cell,A gamma-delta T cell that has an immature phenotype.,,CL:0000798|CL:0002420|RO:0002202 some CL:0000807|obo:cl#has_not_completed some GO:0042492
CL_0000800,mature gamma-delta T cell,A gamma-delta T cell that has a mature phenotype. These cells can be found in tissues and circulation where they express unique TCR repertoire depending on their location.,,CL:0000798|CL:0002419|RO:0002202 some CL:0000799
CL_0000801,gamma-delta intraepithelial T cell,A mature gamma-delta T cell that is found in the columnar epithelium of the gastrointestinal tract. These cells participate in mucosal immune responses.,,CL:0000800|CL:0002496
CL_0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",A gamma-delta intraepithelial T cell that has the phenotype CD8-alpha alpha-positive.,,CL:0000801|RO:0002104 some PR:000001084
CL_0000803,CD4-negative CD8-negative gamma-delta intraepithelial T cell,A gamma-delta intraepithelial T cell that has the phenotype CD4-negative and CD8-negative.,,CL:0000801|obo:cl#lacks_plasma_membrane_part some PR:000001004|obo:cl#lacks_plasma_membrane_part some PR:000001084
CL_0000804,,,,
CL_0000805,immature single positive thymocyte,"A thymocyte that has the phenotype CD4-negative, CD8-positive, CD44-negative, CD25-negative, and pre-TCR-positive.",,CARO:0000006|CL:0000893|RO:0002104 some GO:0043384|RO:0002104 some PR:000025402|RO:0002202 some CL:0000808|RO:0015015 some PR:000001932|obo:cl#lacks_plasma_membrane_part some PR:000001004|obo:cl#lacks_plasma_membrane_part some PR:000001307|obo:cl#lacks_plasma_membrane_part some PR:000001380
CL_0000806,DN2 thymocyte,"A thymocyte that has the phenotype CD4-negative, CD8-negative, CD44-positive, and CD25-positive.",,CARO:0000006|CL:0002489|RO:0002104 some PR:000001307|RO:0002104 some PR:000001380|RO:0002202 some CL:0000894
CL_0000807,DN3 thymocyte,"A thymocyte that has the phenotype CD4-negative, CD8-negative, CD44-negative, and CD25-positive and expressing the T cell receptor beta-chain in complex with the pre-T cell receptor alpha chain.",,CARO:0000006|CL:0002489|RO:0002104 some GO:0043384|RO:0002104 some PR:000001380|RO:0002202 some CL:0000806|obo:cl#lacks_plasma_membrane_part some PR:000001307
CL_0000808,DN4 thymocyte,"A thymocyte that has the phenotype CD4-negative, CD8-negative, CD44-negative, CD25-negative, and pre-TCR-positive.",,CARO:0000006|CL:0002489|RO:0002104 some GO:0043384|RO:0002202 some CL:0000807|obo:cl#lacks_plasma_membrane_part some PR:000001307|obo:cl#lacks_plasma_membrane_part some PR:000001380
